STRAIN	Afu5g14900_hrmA	Afu5g14900_hrmA-like	Afu5g14910_cgnA	Afu5g14910_cgnA-like	Afu8g06780_aclF	Afu8g06780_aclF-like
IF1SW-F4	0	0	0	1	1	0
F4S1B	1	0	1	1	1	1
B5859	0	0	0	0	1	0
08-31-08-91	0	0	0	1	1	0
IFM_60514	0	0	0	1	1	0
F12219	0	0	0	1	1	0
117535A-1.1	0	0	0	1	1	0
ISSF_21	0	0	0	1	1	0
AF41	0	0	0	1	1	0
A1159	0	0	0	1	1	0
F15390	0	0	0	0	1	0
AFUG_031815-1869	0	0	0	1	1	0
F20451	0	0	0	1	1	1
F18304	1	0	1	1	1	1
COH_1192	0	0	0	1	1	0
COH_371	0	0	0	1	1	0
TP12	1	1	1	1	1	0
HMR_AF270	0	0	0	1	1	0
MO89263LAB	0	0	0	1	1	1
B7518_CDC-26	0	0	0	1	1	1
AF293-VKBR3	1	0	1	1	1	1
SF3S10	0	0	0	1	1	1
F21572	0	0	0	1	1	1
F12865	0	0	0	1	1	0
F14532	0	0	0	0	1	0
COH_885	0	0	0	1	1	0
F17999	0	1	0	1	1	1
CM3720	0	0	0	0	1	0
IFM_59361-2	1	0	1	1	1	1
CM2730	0	0	0	1	1	0
F14403	0	0	0	1	1	0
CM3249b	0	0	0	0	1	0
COH_913	0	0	0	1	1	0
Moose_3-1.1	0	0	0	1	0	0
AP65	0	0	0	0	1	1
SF1S5	0	0	0	0	1	1
Afu_124_E11	0	0	0	1	1	0
IFM_61610	0	0	0	1	1	0
CM7510	0	0	0	1	1	1
12-7505446	0	0	0	0	1	0
ATCC_204305	0	0	0	0	1	1
Afu_218_E11	0	0	0	1	1	0
CF337	0	0	0	1	1	1
Af293	1	0	1	1	1	0
IFM_59355-2	1	0	1	1	1	1
COH_762	0	0	0	1	1	0
IFM_59356-3	1	0	1	1	1	1
B5863	0	0	0	1	1	0
B6078	0	0	0	1	1	0
Afu_343_P_11	0	0	0	1	1	0
F12636	0	0	0	0	1	0
TP32	0	0	0	1	1	0
SF1S6	1	0	1	1	1	1
AF72	0	0	0	1	1	0
F14513G	0	0	0	1	1	0
IFM_59777	0	0	0	0	1	1
B5854	0	0	0	1	1	0
F13619	0	0	0	1	1	0
09-7500806	0	0	0	1	1	1
B72911_CDC-15	0	0	0	1	1	0
CEA10-2	1	1	1	1	1	1
SF2S6	0	0	0	1	1	1
84-NIH	0	0	0	1	1	0
F12041	0	0	0	1	1	0
CM3249	0	0	0	0	1	0
B5259_CDC-23	0	0	0	1	1	0
MO79587EXP	0	0	0	0	1	0
B5460_CDC-13	0	0	0	1	1	0
B6081	0	0	0	0	1	1
B1821_CDC-8	0	0	0	1	1	0
B5289_CDC-25	1	0	1	1	1	1
08-19-02-30	0	0	0	0	1	1
A1159-T0-2	0	0	0	1	1	0
AFIS_2101_CDC-1	0	0	0	1	1	1
10-01-02-27	0	0	0	1	1	0
AF210	0	0	0	1	1	0
B6892_CDC-3	0	0	0	1	1	0
B5224_CDC-21	0	0	0	0	1	1
CM4602	0	0	0	0	1	0
akuBKU80	1	1	1	1	1	1
M128	0	0	0	1	1	1
IFM_59355-1	1	0	1	1	1	1
MO78722EXP	0	0	0	0	1	1
F14946G	0	0	0	1	1	1
IFM_59356-1	1	0	1	1	1	1
F18329	0	0	0	1	1	1
Z5	0	0	0	1	1	1
F18085	0	0	0	0	1	0
IFM_61407	0	0	0	1	1	0
B5868	0	0	0	1	1	0
F21857	0	0	0	1	1	1
12-7505054	0	0	0	0	1	0
RSF2S8	0	0	0	0	1	1
08-19-02-46	0	0	0	0	1	0
HMR_AF706	0	0	0	1	1	0
IFM_55369	1	0	1	1	1	1
B7444_CDC-7	0	0	0	1	1	0
AFUG_082015-1200	0	0	0	1	1	0
CEA10	1	1	1	1	1	1
Af10	0	0	0	1	1	0
F18454	0	0	0	1	1	1
IFM_61578	1	0	1	1	1	1
Mg18-1	0	0	0	1	1	0
AF293-VKWH2	1	0	1	1	1	1
Oryx-1	0	0	0	1	1	0
COH_880	1	0	1	1	1	0
08-19-02-10	0	0	0	0	1	0
CM3262	0	0	0	1	1	0
B6079	0	0	0	1	1	0
CM4946	0	0	0	1	1	0
Afu_591_12	0	0	0	1	1	0
08-36-03-25	0	0	0	1	1	0
COH_694	0	0	0	1	1	0
Af210	0	0	0	1	1	0
AFIS_13708_CDC-14	0	0	0	1	1	1
F15767	0	0	0	0	1	0
AF90	0	0	0	1	1	1
B10540_CDC-20	0	0	0	1	1	0
SF2S9	0	0	0	1	1	1
F13535	0	0	0	1	1	0
IFM_59073	0	0	0	1	1	1
CM6126	0	0	0	0	1	1
IFM_60237	1	0	1	1	1	1
F16216	0	0	0	0	1	0
CM3248	0	0	0	1	1	1
IFM_58026	0	0	0	1	1	0
Af65	0	0	0	0	1	0
A1163	1	0	1	1	1	1
AF293-VKBR1	1	0	1	1	1	1
CM2141	0	0	0	1	1	0
F17729	0	0	0	1	1	1
B5852	0	0	0	1	1	0
CM2495	0	0	0	1	1	0
COH_934	0	0	0	1	1	1
IFM_59361-1	1	0	1	1	1	1
